此开卷第一回也．作者自云：因曾历过一番梦幻之后，故将真事隐去，而借"通灵"之说，撰此《石头记》一书也．故曰"甄士隐"云云．但书中所记何事何人？自又云：  |||  作者
湘云又瞅了宝琴半日，笑道：  |||  湘云
正说着，只见琥珀走来笑道：  |||  琥珀
宝钗忙起身答应了，又推宝琴笑道：  |||  宝钗
说话之间，宝玉黛玉都进来了，宝钗犹自嘲笑．湘云因笑道：  |||  湘云
琥珀笑道：  |||  琥珀
口里说，手指着宝玉．宝钗湘云都笑道：  |||  宝钗湘云
琥珀又笑道：  |||  琥珀
说着又指着黛玉．湘云便不则声．宝钗忙笑道：  |||  宝钗
宝玉素习深知黛玉有些小性儿，且尚不知近日黛玉和宝钗之事，正恐贾母疼宝琴他心中不自在，今见湘云如此说了，宝钗又如此答，再审度黛玉声色亦不似往时，果然与宝钗之说相符，心中闷闷不乐．因想：  |||  宝玉
一时宝钗姊妹往薛姨妈房内去后，湘云往贾母处来，林黛玉回房歇着．宝玉便找了黛玉来，笑道：  |||  宝玉
黛玉听了，便知有文章，因笑道：  |||  黛玉
宝玉笑道：  |||  宝玉
黛玉听了，禁不住也笑起来，因笑道：  |||  黛玉
宝玉道：  |||  宝玉
黛玉笑道：  |||  黛玉
因把说错了酒令起，连送燕窝病中所谈之事，细细告诉了宝玉．宝玉方知缘故，因笑道：  |||  宝玉
黛玉因又说起宝琴来，想起自己没有骀⒚*，不免又哭了．宝玉忙劝道：  |||  宝琴
黛玉拭泪道：  |||  黛玉
宝玉道：  |||  宝玉
正说着，只见他屋里的小丫头子送了猩猩毡斗篷来，又说：  |||  小丫头子
一语未了，只见李纨的丫头走来请黛玉．宝玉便邀着黛玉同往稻香村来．黛玉换上掐金挖云红香羊皮小靴，罩了一件大红羽纱面白狐狸里的鹤氅，束一条青金闪绿双环四合如意绦，头上罩了雪帽．二人一齐踏雪行来．只见众姊妹都在那边，都是一色大红猩猩毡与羽毛缎斗篷，独李纨穿一件青哆罗呢对襟褂子，薛宝钗穿一件莲青斗纹锦上添花洋线番Е丝的鹤氅；邢岫烟仍是家常旧衣，并无避雪之衣．一时史湘云来了，穿着贾母与他的一件貂鼠脑袋面子大毛黑灰鼠里子里外发烧大褂子，头上带着一顶挖云鹅黄片金里大红猩猩毡昭君套，又围着大貂鼠风领．黛玉先笑道：  |||  黛玉
湘云笑道：  |||  湘云
一面说，一面脱了褂子．只见他里头穿着一件半新的靠色三镶领袖秋香色盘金五色绣龙窄Ё小袖掩衿银鼠短袄，里面短短的一件水红装缎狐肷褶子，腰里紧紧束着一条蝴蝶结子长穗五色宫绦，脚下也穿着Ж皮小靴，越显的蜂腰猿背，鹤势螂形．众人都笑道：  |||  众人
湘云道：  |||  湘云
李纨道：  |||  李纨
宝玉先道：  |||  宝玉
众人看道：  |||  众人
李纨道：  |||  李纨
指着香菱，宝琴，李纹，李绮，岫烟，"五个不算外，咱们里头二丫头病了不算，四丫头告了假也不算，你们四分子送了来，我包总五六两银子也尽够了。”宝钗等一齐应诺．因又拟题限韵，李纨笑道：  |||  李纨
宝玉来至芦雪庵，只见丫鬟婆子正在那里扫雪开径．原来这芦雪庵盖在傍山临水河滩之上，一带几间，茅檐土壁，槿篱竹牖，推窗便可垂钓，四面都是芦苇掩覆，一条去径逶迤穿芦度苇过去，便是藕香榭的竹桥了．众丫鬟婆子见他披蓑戴笠而来，却笑道：  |||  众丫鬟婆子
一时众姊妹来齐，宝玉只嚷饿了，连连催饭．好容易等摆上来，头一样菜便是牛乳蒸羊羔．贾母便说：  |||  贾母
众人答应了．宝玉却等不得，只拿茶泡了一碗饭，就着野鸡瓜齑忙忙的咽完了．贾母道：  |||  贾母
便叫"留着鹿肉与他晚上吃"，凤姐忙说"还有呢"，方才罢了．史湘云便悄和宝玉计较道：  |||  史湘云
一时大家散后，进园齐往芦雪庵来，听李纨出题限韵，独不见湘云宝玉二人．黛玉道：  |||  黛玉
正说着，只见李婶也走来看热闹，因问李纨道：  |||  李婶
众人听了，都笑道：  |||  众人
黛玉笑道：  |||  黛玉
李纨等忙出来找着他两个说道：  |||  李纨等
宝玉笑道：  |||  宝玉
李纨道：  |||  李纨
只见老婆们拿了铁炉，铁叉，铁丝チ来，李纨道：  |||  李纨
凤姐打发了平儿来回复不能来，为发放年例正忙．湘云见了平儿，那里肯放．平儿也是个好顽的，素日跟着凤姐儿无所不至，见如此有趣，乐得顽笑，因而褪去手上的镯子，三个围着火炉儿，便要先烧三块吃．那边宝钗黛玉平素看惯了，不以为异，宝琴等及李婶深为罕事．探春与李纨等已议定了题韵．探春笑道：  |||  探春
说着，也找了他们来．李纨也随来说：  |||  李纨
湘云一面吃，一面说道：  |||  湘云
说着，只见宝琴披着凫靥裘站在那里笑．湘云笑道：  |||  湘云
宝琴笑说：  |||  宝琴
宝钗道：  |||  宝钗
宝琴听了，便过去吃了一块，果然好吃，便也吃起来．一时凤姐儿打发小丫头来叫平儿．平儿说：  |||  平儿
小丫头去了．一时只见凤姐也披了斗篷走来，笑道：  |||  凤姐
说着也凑着一处吃起来．黛玉笑道：  |||  黛玉
湘云冷笑道：  |||  湘云
宝钗笑道：  |||  宝钗
说着，吃毕，洗漱了一回．平儿带镯子时却少了一个，左右前后乱找了一番，踪迹全无．众人都诧异．凤姐儿笑道：  |||  凤姐儿
说着又问：  |||  说着
众人听了，都笑道：  |||  众人
说着，一齐来至地炕屋内，只见杯盘果菜俱已摆齐，墙上已贴出诗题`韵脚`格式来了．宝玉湘云二人忙看时，只见题目是"即景联句，五言排律一首，限二萧韵。”后面尚未列次序．李纨道：  |||  李纨
宝钗道：  |||  宝钗
话说薛宝钗道：  |||  薛宝钗
说着，便令众人拈阄为序。起首恰是李氏，然后按次各各开出。凤姐儿道：  |||  凤姐儿
众人都笑起来了，说：  |||  众人
宝钗将“稻香老农”之上补了一个“凤”字，李纨又将题目讲给他听。凤姐儿想了半天，笑道：  |||  凤姐儿
众人都笑道：  |||  众人
凤姐儿笑道：  |||  凤姐儿
众人听说，都相视笑道：  |||  众人
李纨笑道：  |||  李纨
湘云笑弯了腰，忙念了一句，众人问道：  |||  众人
宝钗笑称：  |||  宝钗
湘云伏着，已笑软了。众人看他三人对抢，也都不顾作诗，看着也只是笑。黛玉还推他往下联，又道：  |||  黛玉
湘云只伏在宝钗怀里笑个不住。宝钗推他起来，道：  |||  宝钗
湘云起身笑道：  |||  湘云
众人笑道：  |||  众人
探春早已料定没有自己联的了，便早写出来，因说：  |||  探春
李纨道：  |||  李纨
说着大家来细细评论一回，独湘云的多，都笑道：  |||  湘云
李纨笑道：  |||  李纨
宝玉笑道：  |||  宝玉
李纨笑道：  |||  李纨
众人都道：  |||  众人
宝玉也乐为，答应着就要走。湘云黛玉一起说道：  |||  湘云黛玉
于是湘云早热起壶酒来了，黛玉递了个大杯，满斟了一杯。湘云笑道：  |||  湘云
李纨命人好好跟着，黛玉忙拦说：  |||  黛玉
李纨点头道是，一面命丫鬟将一个美女耸肩瓶拿来，贮了水准备插梅。因又笑道：  |||  李纨
湘云忙道：  |||  湘云
宝钗笑道：  |||  宝钗
黛玉笑道：  |||  黛玉
宝钗笑道：  |||  宝钗
李纨因说：  |||  李纨
宝钗只得依允。又道：  |||  宝钗
李纨道：  |||  李纨
湘云忙道：  |||  湘云
众人问：  |||  众人
湘云道：  |||  湘云
众人听了，都说：  |||  众人
一语未了，只见宝玉笑欣欣擎了一枝红梅进来。众丫鬟忙已接过，插入瓶内。众人都道：  |||  众人
宝玉笑道：  |||  宝玉
说着，探春早又递了一钟暖酒来，众丫鬟上来接了蓑笠掸雪。各人屋里丫鬟都添送衣裳来，袭人也遣人送了半旧的狐腋褂来。李纨命人将那蒸的大芋头盛了一盘，又将朱桔、黄橙、橄榄等物盛了两盘，命人带给袭人去。湘云且告诉宝玉方才的诗题，又催宝玉快做。宝玉道：  |||  宝玉
众人都说：  |||  众人
众人看了，都笑着称赞了一回，又指末一首更好。宝玉见宝琴年纪最小，才又敏捷；黛玉湘云二个斟了一小杯酒，都贺宝琴。宝钗笑道：  |||  宝钗
李纨又问宝玉：  |||  李纨
宝玉忙道：  |||  宝玉
湘云听了，便拿了一枝铜火箸击着手炉，笑道：  |||  湘云
宝玉笑道：  |||  宝玉
黛玉提起笔来，笑道：  |||  黛玉
湘云便击了一下，笑道：  |||  湘云
宝玉笑道：  |||  宝玉
黛玉写了，摇头笑道：  |||  黛玉
湘云又道：  |||  湘云
黛玉湘云都点头笑道：  |||  黛玉湘云
黛玉写了，摇头说：  |||  黛玉
黛玉写毕，湘云大家才评论时，只见几个丫鬟跑进来道：  |||  几个丫鬟
众人忙迎出来，大家又笑道：  |||  众人
说着，远远见贾母围了大斗篷，带着灰鼠暖兜，坐着小竹轿，打着青绸油伞，鸳鸯琥珀等五六个丫鬟，每人都是打着伞，拥轿而来。李纨等忙往上迎。贾母命人止住，说：  |||  贾母
来至跟前，贾母笑道：  |||  贾母
贾母来至室中，先笑道：  |||  贾母
说着，李纨早命人拿了一个大狼皮褥子来，铺在当中。贾母坐了，因笑道：  |||  贾母
李纨早又捧过手炉来。探春另拿了一副杯箸来，亲自斟了暖酒奉给贾母。贾母便饮了一口，问：  |||  贾母
众人忙捧了过来回说：  |||  众人
贾母道：  |||  贾母
李纨忙答应了，要水洗手，亲自来撕。贾母道：  |||  贾母
又命李纨：  |||  李纨
众人听了，方才依次坐下，只李纨挪到尽下边。贾母因问：  |||  贾母
众人便说：  |||  众人
贾母道：  |||  贾母
众人答应。说笑了一会，贾母便说：  |||  贾母
众人笑道：  |||  众人
贾母道：  |||  贾母
说着，仍坐了竹椅桥，大家围随，过了藕香榭，穿入一条夹道，东西两边皆是过街门，门楼上里外都嵌着石头匾。如今进的是西门，向外的匾上凿着“穿云”二字，向里的凿着“度月”两字。来至堂中，进了向南的正门，贾母下了轿，惜春已接出来了。从里面游廊过去，便是惜春卧房，厦檐下挂着“暖香坞”的匾，早有几个人打起猩红毡帘，已觉暖气拂脸。大家进入屋里，贾母并不归坐，只问惜春：  |||  惜春
惜春因笑回：  |||  惜春
贾母笑道：  |||  贾母
一语未了，忽见凤姐披着紫羯绒褂笑嘻嘻的来了，口内说道：  |||  凤姐
贾母见他来了，心中喜欢，道：  |||  贾母
凤姐儿笑道：  |||  凤姐儿
他一行说，众人一行笑。凤姐儿也不等贾母说话，便命人抬过轿来。贾母笑着挽了凤姐儿的手，仍上了轿，带着众人，说笑出了夹道东门。一看四面，粉妆银砌，忽见宝琴披着凫靥裘，站在山坡背后遥等，身后一个丫鬟，抱着一瓶红梅。众人都笑道：  |||  众人
贾母喜的忙笑道：  |||  贾母
众人都笑道：  |||  众人
贾母摇头笑道：  |||  贾母
一语未了，只见宝琴身后又转出一个穿大红猩猩毡的人来。贾母道：  |||  贾母
众人笑道：  |||  众人
贾母笑道：  |||  贾母
说话之间，来至跟前，可不是宝玉和宝琴两个？宝玉笑向宝钗黛玉等道：  |||  宝玉
众人都笑说：  |||  众人
说话之间，已出了园门，来至贾母房中。吃毕饭大家又说笑了一回，忽见薛姨妈也来了，说：  |||  薛姨妈
贾母笑道：  |||  贾母
薛姨妈笑道：  |||  薛姨妈
贾母笑道：  |||  贾母
薛姨妈笑道：  |||  薛姨妈
凤姐儿笑道：  |||  凤姐儿
贾母笑道：  |||  贾母
凤姐将手一拍，笑道：  |||  凤姐
众人都笑了。贾母笑道：  |||  贾母
凤姐笑道：  |||  凤姐
贾母因又说及宝琴雪下折梅，比画儿上还好；又细问他的年庚八字并家内景况。薛姨妈度其意思，大约是要给他求配。薛姨妈心中因也遂意，只是已许过梅家了，因贾母尚未说明，自己也不好拟定，遂半吐半露告诉贾母道：  |||  贾母
凤姐儿也不等说完，便嗐声跺脚的说：  |||  凤姐儿
贾母笑道：  |||  贾母
凤姐儿笑道：  |||  凤姐儿
次日雪晴。饭后，贾母又吩咐惜春：  |||  贾母
惜春听了，虽是为难的事，就应了。一时众人都来看他如何画。惜春只是出神。李纨因笑向众人道：  |||  李纨
众人听了，都笑道：  |||  众人
李纨笑道：  |||  李纨
湘云接着就说道：  |||  湘云
宝钗笑道：  |||  宝钗
李纨笑道：  |||  李纨
黛玉笑道：  |||  黛玉
众人都笑道：  |||  众人
李纨又道：  |||  李纨
湘云又忙道：  |||  湘云
李纨笑道：  |||  李纨
探春笑着问道：  |||  探春
李纨道：  |||  李纨
李纨又道：  |||  李纨
众人猜了半日，宝琴道：  |||  宝琴
李绮笑道：  |||  李绮
众人道：  |||  众人
黛玉笑道：  |||  黛玉
众人会意，都笑了，说：  |||  众人
宝钗道：  |||  宝钗
众人都道：  |||  众人
湘云想了一想，笑道：  |||  湘云
众人都不解，想了半日，也有猜是和尚的，也有猜是道士的，也有猜是偶戏人的。宝玉笑了半日道：  |||  宝玉
湘云笑道：  |||  湘云
众人道：  |||  众人
湘云道：  |||  湘云
众人听了都笑起来，说：  |||  众人
李纨道：  |||  李纨
探春也有了一个，方欲念时，宝琴走来，笑道：  |||  宝琴
众人听了，都说：  |||  众人
团圆莫忆春香到，一别西风又一年．众人看了，都称奇道妙．宝钗先说道：  |||  宝钗
黛玉忙拦道：  |||  黛玉
探春便道：  |||  探春
李纨又道：  |||  李纨
冬日天短，不觉又是前头吃晚饭之时，一齐前来吃饭．因有人回王夫人说：  |||  有人
王夫人听了，便道：  |||  王夫人
凤姐儿答应了，回至房中，便命周瑞家的去告诉袭人原故．又吩咐周瑞家的：  |||  凤姐儿
周瑞家的答应了，才要去，凤姐儿又道：  |||  凤姐儿
半日，果见袭人穿戴来了，两个丫头与周瑞家的拿着手炉与衣包．凤姐儿看袭人头上戴着几枝金钗珠钏，倒华丽，又看身上穿着桃红百子刻丝银鼠袄子，葱绿盘金彩绣绵裙，外面穿着青缎灰鼠褂．凤姐儿笑道：  |||  凤姐儿
袭人笑道：  |||  袭人
凤姐儿笑道：  |||  凤姐儿
众人都笑道：  |||  众人
凤姐儿笑道：  |||  凤姐儿
众人听了，都叹说：  |||  众人
平儿走去拿了出来，一件是半旧大红猩猩毡的，一件是大红羽纱的．袭人道：  |||  袭人
平儿笑道：  |||  平儿
凤姐儿笑道：  |||  凤姐儿
  |||  empty
凤姐儿笑道：  |||  凤姐儿
说着，又嘱咐袭人道：  |||  袭人
又吩咐周瑞家的道：  |||  周瑞家的
周瑞家的答应：  |||  周瑞家的
这里凤姐又将怡红院的嬷嬷唤了两个来，吩咐道：  |||  凤姐
两个嬷嬷去了，一时来回说：  |||  两个嬷嬷
凤姐儿听了，点头道：  |||  凤姐儿
老嬷嬷们答应了，自回园去．一时果有周瑞家的带了信回凤姐儿说：  |||  周瑞家的
宝玉看着晴雯麝月二人打点妥当，送去之后，晴雯麝月皆卸罢残妆，脱换过裙袄．晴雯只在熏笼上围坐．麝月笑道：  |||  麝月
晴雯道：  |||  晴雯
麝月笑道：  |||  麝月
说着，便去与宝玉铺床．晴雯も了一声，笑道：  |||  晴雯
此时宝玉正坐着纳闷，想袭人之母不知是死是活，忽听见晴雯如此说，便自己起身出去，放下镜套，划上消息，进来笑道：  |||  宝玉
晴雯笑道：  |||  晴雯
麝月道：  |||  麝月
宝玉笑道：  |||  宝玉
晴雯道：  |||  晴雯
晴雯自在熏笼上，麝月便在暖阁外边．至三更以后，宝玉睡梦之中，便叫袭人．叫了两声，无人答应，自己醒了，方想起袭人不在家，自己也好笑起来．晴雯已醒，因笑唤麝月道：  |||  晴雯
麝月翻身打个哈气笑道：  |||  麝月
因问作什么．宝玉要吃茶，麝月忙起来，单穿红绸小棉袄儿．宝玉道：  |||  宝玉
麝月听说，回手便把宝玉披着起夜的一件貂颏满襟暖袄披上，下去向盆内洗手，先倒了一钟温水，拿了大漱盂，宝玉漱了一口，然后才向茶格上取了茶碗，先用温水ッ了一ッ，向暖壶中倒了半碗茶，递与宝玉吃了；自己也漱了一漱，吃了半碗．晴雯笑道：  |||  晴雯
麝月笑道：  |||  麝月
晴雯道：  |||  晴雯
麝月听说，只得也伏侍他漱了口，倒了半碗茶与他吃过．麝月笑道：  |||  麝月
晴雯笑道：  |||  晴雯
宝玉道：  |||  宝玉
麝月便开了后门，揭起毡帘一看，果然好月色．晴雯等他出去，便欲唬他玩耍．仗着素日比别人气壮，不畏寒冷，也不披衣，只穿着小袄，便蹑手蹑脚的下了熏笼，随后出来．宝玉笑劝道：  |||  宝玉
晴雯只摆手，随后出了房门．只见月光如水，忽然一阵微风，只觉侵肌透骨，不禁毛骨森然．心下自思道：  |||  晴雯
一面正要唬麝月，只听宝玉高声在内道：  |||  宝玉
晴雯忙回身进来，笑道：  |||  晴雯
宝玉笑道：  |||  宝玉
晴雯听说，便上来掖了掖，伸手进去渥一渥时，宝玉笑道：  |||  宝玉
一面又见晴雯两腮如胭脂一般，用手摸了一摸，也觉冰冷．宝玉道：  |||  宝玉
一语未了，只听咯噔的一声门响，麝月慌慌张张的笑了进来，说道：  |||  麝月
一面说，一面洗手，又笑道：  |||  道
宝玉笑道：  |||  宝玉
晴雯笑道：  |||  晴雯
一面说，一面仍回自己被中去了．麝月道：  |||  麝月
宝玉笑道：  |||  宝玉
麝月道：  |||  麝月
晴雯因方才一冷，如今又一暖，不觉打了两个喷嚏．宝玉叹道：  |||  宝玉
麝月笑道：  |||  麝月
宝玉问：  |||  宝玉
晴雯嗽了两声，说道：  |||  晴雯
说着，只听外间房中十锦格上的自鸣钟当当两声，外间值宿的老嬷嬷嗽了两声，因说道：  |||  老嬷嬷
宝玉方悄悄的笑道：  |||  宝玉
说着，方大家睡了．至次日起来，晴雯果觉有些鼻塞声重，懒怠动弹．宝玉道：  |||  宝玉
晴雯道：  |||  晴雯
宝玉听了有理，便唤一个老嬷嬷吩咐道：  |||  老嬷嬷
老嬷嬷去了半日，来回说：  |||  老嬷嬷
晴雯睡在暖阁里，只管咳嗽，听了这话，气的喊道：  |||  晴雯
说着，便真要起来．宝玉忙按他，笑道：  |||  宝玉
正说时，人回大夫来了．宝玉便走过来，避在书架之后．只见两三个后门口的老嬷嬷带了一个大夫进来．这里的丫鬟都回避了，有三四个老嬷嬷放下暖阁上的大红绣幔，晴雯从幔中单伸出手去．那大夫见这只手上有两根指甲，足有三寸长，尚有金凤花染的通红的痕迹，便忙回过头来．有一个老嬷嬷忙拿了一块手帕掩了．那大夫方诊了一回脉，起身到外间，向嬷嬷们说道：  |||  大夫
彼时，李纨已遣人知会过后门上的人及各处丫鬟回避，那大夫只见了园中的景致，并不曾见一女子．一时出了园门，就在守园门的小厮们的班房内坐了，开了药方．老嬷嬷道：  |||  老嬷嬷
大夫忙道：  |||  大夫
老嬷嬷悄悄笑道：  |||  老嬷嬷
宝玉看时，上面有紫苏，桔梗，防风，荆芥等药，后面又有枳实，麻黄．宝玉道：  |||  宝玉
老婆子道：  |||  老婆子
宝玉道：  |||  宝玉
婆子道：  |||  婆子
宝玉道：  |||  宝玉
婆子笑道：  |||  婆子
宝玉听说，便命麝月去取银子．麝月道：  |||  麝月
宝玉道：  |||  宝玉
说着，二人来至宝玉堆东西的房子，开了螺甸柜子，上一格子都是些笔墨，扇子，香饼，各色荷包，汗巾等物，下一格却是几串钱．于是开了抽屉，才看见一个小簸箩内放着几块银子，倒也有一把戥子．麝月便拿了一块银子，提起戥子来问宝玉：  |||  麝月
宝玉笑道：  |||  宝玉
麝月也笑了，又要去问人．宝玉道：  |||  宝玉
麝月听了，便放下戥子，拣了一块掂了一掂，笑道：  |||  麝月
那婆子站在外头台矶上，笑道：  |||  婆子
麝月早掩了柜子出来，笑道：  |||  麝月
宝玉道：  |||  宝玉
一时茗烟果请了王太医来，诊了脉后，说的病症与前相仿，只是方上果没有枳实，麻黄等药，倒有当归，陈皮，白芍等，药之分量较先也减了些．宝玉喜道：  |||  宝玉
麝月等笑道：  |||  麝月等
宝玉笑道：  |||  宝玉
说着，只见老婆子取了药来．宝玉命把煎药的银吊子找了出来，就命在火盆上煎．晴雯因说：  |||  晴雯
宝玉道：  |||  宝玉
正值凤姐儿和贾母王夫人商议说：  |||  凤姐儿
王夫人笑道：  |||  王夫人
贾母道：  |||  贾母
凤姐道：  |||  凤姐
贾母道：  |||  贾母
贾母道：  |||  贾母
因此时薛姨妈李婶都在座，邢夫人及尤氏婆媳也都过来请安，还未过去，贾母向王夫人等说道：  |||  贾母
薛姨妈，李婶，尤氏等齐笑说：  |||  薛姨妈，李婶，尤氏等
贾母点头叹道：  |||  贾母
凤姐儿忙笑道：  |||  凤姐儿
贾母笑道：  |||  贾母
宝玉因记挂着晴雯袭人等事，便先回园里来．到房中，药香满屋，一人不见，只见晴雯独卧于炕上，脸面烧的飞红，又摸了一摸，只觉烫手．忙又向炉上将手烘暖，伸进被去摸了一摸身上，也是火烧．因说道：  |||  一人
晴雯道：  |||  晴雯
宝玉道：  |||  宝玉
晴雯道：  |||  晴雯
宝玉笑道：  |||  宝玉
只闻麝月悄问道：  |||  麝月
平儿道：  |||  平儿
麝月道：  |||  麝月
平儿道：  |||  平儿
宝玉听了，又喜又气又叹．喜的是平儿竟能体贴自己，气的是坠儿小窃，叹的是坠儿那样一个伶俐人，作出这丑事来．因而回至房中，把平儿之话一长一短告诉了晴雯．又说：  |||  宝玉
晴雯听了，果然气的蛾眉倒蹙，凤眼圆睁，即时就叫坠儿．宝玉忙劝道：  |||  宝玉
晴雯道：  |||  晴雯
宝玉道：  |||  宝玉
晴雯服了药，至晚间又服二和，夜间虽有些汗，还未见效，仍是发烧，头疼鼻塞声重．次日，王太医又来诊视，另加减汤剂．虽然稍减了烧，仍是头疼．宝玉便命麝月：  |||  宝玉
麝月果真去取了一个金镶双扣金星玻璃的一个扁盒来，递与宝玉．宝玉便揭翻盒扇，里面有西洋珐琅的黄发赤身女子，两肋又有肉翅，里面盛着些真正汪恰洋烟．晴雯只顾看画儿，宝玉道：  |||  宝玉
晴雯听说，忙用指甲挑了些嗅入鼻中，不怎样．便又多多挑了些嗅入．忽觉鼻中一股酸辣透入Ч门，接连打了五六个嚏喷，眼泪鼻涕登时齐流．晴雯忙收了盒子，笑道：  |||  晴雯
早有小丫头子递过一搭子细纸，晴雯便一张一张的拿来醒鼻子．宝玉笑问：  |||  宝玉
晴雯笑道：  |||  晴雯
宝玉笑道：  |||  宝玉
说着，便命麝月：  |||  ，便命麝月
麝月答应了，去了半日，果拿了半节来．便去找了一块红缎子角儿，铰了两块指顶大的圆式，将那药烤和了，用簪挺摊上．晴雯自拿着一面靶镜，贴在两太阳上．麝月笑道：  |||  麝月
说毕，又向宝玉道：  |||  宝玉
宝玉道：  |||  宝玉
刚到院门外边，忽见宝琴的小丫鬟名小螺者从那边过去，宝玉忙赶上问：  |||  宝玉
小螺笑道：  |||  小螺
宝玉听了，转步也便同他往潇湘馆来．不但宝钗姊妹在此，且连邢岫烟也在那里，四人围坐在熏笼上叙家常．紫鹃倒坐在暖阁里，临窗作针黹．一见他来，都笑说：  |||  宝玉
宝玉笑道：  |||  宝玉
说着，便坐在黛玉常坐的搭着灰鼠椅搭的一张椅上．因见暖阁之中有一玉石条盆，里面攒三聚五栽着一盆单瓣水仙，点着宣石，便极口赞：  |||  黛玉
黛玉因说道：  |||  黛玉
宝玉道：  |||  宝玉
黛玉道：  |||  黛玉
宝玉笑道：  |||  宝玉
黛玉笑道：  |||  黛玉
宝玉笑道：  |||  宝玉
黛玉听了，笑道：  |||  黛玉
说着，便两手握起脸来．宝玉笑道：  |||  宝玉
宝钗因笑道：  |||  宝钗
宝琴笑道：  |||  宝琴
众人都称奇道异．宝玉忙笑道：  |||  宝玉
宝琴笑道：  |||  宝琴
宝玉听了，大失所望，便说：  |||  宝玉
黛玉笑拉宝琴道：  |||  黛玉
宝琴便红了脸，低头微笑不语．宝钗笑道：  |||  宝钗
黛玉道：  |||  黛玉
宝钗笑道：  |||  宝钗
又向宝琴道：  |||  向宝琴
宝琴方答道：  |||  宝琴
宝钗道：  |||  宝钗
说着，便叫小螺来吩咐道：  |||  小螺
半日，只听湘云笑问：  |||  湘云
一头说，一头果和香菱来了．众人笑道：  |||  众人
宝琴等忙让坐，遂把方才的话重叙了一遍．湘云笑道：  |||  湘云
汉南春历历，焉得不关心．众人听了，都道"难为他！竟比我们中国人还强。”一语未了，只见麝月走来说：  |||  麝月
宝玉忙站起来答应道：  |||  宝玉
因问宝钗宝琴可去．宝钗道：  |||  宝钗
宝玉因让诸姊妹先行，自己落后．黛玉便又叫住他问道：  |||  黛玉
宝玉道：自然等送了殡才来呢．觉心里有许多话，只是口里不知要说什么，想了一想，也笑道：  |||  宝玉
一面下了阶矶，低头正欲迈步，复又忙回身问道：  |||  低头正欲迈步，复又忙回身
黛玉道：  |||  黛玉
宝玉又笑道：  |||  宝玉
一面说，一面便挨过身来，悄悄道：  |||  道：
一语未了，只见赵姨娘走了进来瞧黛玉，问：  |||  赵姨娘
黛玉便知他是从探春处来，从门前过，顺路的人情．黛玉忙陪笑让坐，说：  |||  黛玉
正值吃晚饭时，见了王夫人，王夫人又嘱他早去．宝玉回来，看晴雯吃了药．此夕宝玉便不命晴雯挪出暖阁来，自己便在晴雯外边．又命将熏笼抬至暖阁前，麝月便在熏笼上．一宿无话．至次日，天未明时，晴雯便叫醒麝月道：  |||  晴雯
麝月忙披衣起来道：  |||  麝月
晴雯道：  |||  晴雯
二人才叫时，宝玉已醒了，忙起身披衣．麝月先叫进小丫头子来，收拾妥当了，才命秋纹檀云等进来，一同伏侍宝玉梳洗毕．麝月道：  |||  麝月
贾母犹未起来，知道宝玉出门，便开了房门，命宝玉进去．宝玉见贾母身后宝琴面向里也睡未醒．贾母见宝玉身上穿着荔色哆罗呢的天马箭袖，大红猩猩毡盘金彩绣石青妆缎沿边的排穗褂子．贾母道：  |||  贾母
宝玉道：  |||  宝玉
贾母便命鸳鸯来：  |||  贾母
鸳鸯答应了，走去果取了一件来．宝玉看时，金翠辉煌，碧彩闪灼，又不似宝琴所披之凫靥裘．只听贾母笑道：  |||  贾母
宝玉磕了一个头，便披在身上．贾母笑道：  |||  贾母
宝玉答应了，便出来，只见鸳鸯站在地下揉眼睛．因自那日鸳鸯发誓决绝之后，他总不和宝玉讲话．宝玉正自日夜不安，此时见他又要回避，宝玉便上来笑道：  |||  宝玉
鸳鸯一摔手，便进贾母房中来了．宝玉只得到了王夫人房中，与王夫人看了，然后又回至园中，与晴雯麝月看过后，至贾母房中回说：  |||  宝玉
贾母道：  |||  贾母
说着又嘱咐他：  |||  说着
老嬷嬷跟至厅上，只见宝玉的奶兄李贵和王荣，张若锦，赵亦华，钱启，周瑞六个人，带着茗烟，伴鹤，锄药，扫红四个小厮，背着衣包，抱着坐褥，笼着一匹雕鞍彩辔的白马，早已伺候多时了．老嬷嬷又吩咐了他六人些话，六个人忙答应了几个"是"，忙捧鞭坠镫．宝玉慢慢的上了马，李贵和王荣笼着嚼环，钱启周瑞二人在前引导，张若锦，赵亦华在两边紧贴宝玉后身．宝玉在马上笑道：  |||  宝玉
周瑞侧身笑道：  |||  周瑞
宝玉笑道：  |||  宝玉
钱启李贵等都笑道：  |||  李贵等
这里晴雯吃了药，仍不见病退，急的乱骂大夫，说：  |||  晴雯
麝月笑劝他道：  |||  麝月
晴雯又骂小丫头子们：  |||  晴雯
唬的小丫头子篆儿忙进来问：  |||  子篆儿
晴雯道：  |||  晴雯
说着，只见坠儿也蹭了进来．晴雯道：  |||  晴雯
坠儿只得前凑．晴雯便冷不防欠身一把将他的手抓住，向枕边取了一丈青，向他手上乱戳，口内骂道：  |||  晴雯
坠儿疼的乱哭乱喊．麝月忙拉开坠儿，按晴雯睡下，笑道：  |||  麝月
晴雯便命人叫宋嬷嬷进来，说道：  |||  晴雯
宋嬷嬷听了，心下便知镯子事发，因笑道：  |||  宋嬷嬷
晴雯道：  |||  晴雯
